iter	Passed	Remaining
961	8101	320
962	8109	311
963	8118	303
964	8126	294
965	8134	286
966	8142	277
967	8151	269
968	8159	261
969	8167	252
970	8175	244
971	8184	235
972	8192	227
973	8200	218
974	8209	210
975	8217	202
976	8225	193
977	8233	185
978	8241	176
979	8249	168
980	8258	159
981	8266	151
982	8274	143
983	8282	134
984	8291	126
985	8299	117
986	8308	109
987	8316	101
988	8324	92
989	8332	84
990	8340	75
991	8349	67
992	8357	58
993	8365	50
994	8374	42
995	8382	33
996	8390	25
997	8398	16
998	8407	8
999	8415	0
